hex_code,occurence,R,G,B,percent,Movement,percent_total
#000078,1551349,0,0,120,89.55,Abstract-Expressionism,13.21
#958E7B,1363732,149,142,123,88.52,Abstract-Expressionism,11.61
#E0E0DE,1336087,224,224,222,91.96,Abstract-Expressionism,11.38
#F7F7F7,1308463,247,247,247,60.7,Abstract-Expressionism,11.14
#47596D,1260457,71,89,109,58.24,Abstract-Expressionism,10.73
#FFFBF5,1243049,255,251,245,75.0,Abstract-Expressionism,10.59
#FDDA5A,1011667,253,218,90,69.81,Abstract-Expressionism,8.62
#FFF1D4,937994,255,241,212,41.34,Abstract-Expressionism,7.99
#A76A3D,898284,167,106,61,71.36,Abstract-Expressionism,7.65
#F6F8F5,831039,246,248,245,47.24,Abstract-Expressionism,7.08
